Player,Age,2017-18
Norman Powell,24,"$1,471,382 "
Fred VanVleet,24,"$1,312,611 "
Pascal Siakam,24,"$1,312,611 "
Alfonzo McKinnie,25,"$815,615 "
Justin Hamilton,27,"$1,000,000 "
K.J. McDaniels,25,"$100,000 "
Nigel Hayes,23,"$92,160 "
Rudy Gobert,25,"$21,974,719 "
Ricky Rubio,27,"$14,275,000 "
Joe Ingles,30,"$14,136,364 "
Derrick Favors,26,"$12,000,000 "
Alec Burks,26,"$10,845,506 "
Jae Crowder,27,"$6,796,117 "
Thabo Sefolosha,33,"$5,250,000 "
Dante Exum,22,"$4,992,385 "
Jonas Jerebko,31,"$4,000,000 "
Ekpe Udoh,30,"$3,200,000 "
Donovan Mitchell,21,"$2,621,280 "
Raul Neto,25,"$1,471,382 "
Tony Bradley,20,"$1,414,920 "
Royce O'Neale,24,"$815,615 "
David Stockton,26,"$148,318 "
Derrick Rose,29,"$2,116,955 "
Joel Bolomboy,24,"$1,312,611 "
Naz Mitrou-Long,24,"$92,160 "
Nate Wolters,26,"$50,000 "
Naz Mitrou-Long,24,"$50,000 "
Eric Griffin,27,"$50,000 "
Otto Porter,24,"$24,773,250 "
Bradley Beal,24,"$23,775,506 "
John Wall,27,"$18,063,850 "
Ian Mahinmi,31,"$16,661,641 "
Marcin Gortat,34,"$12,782,609 "
Markieff Morris,28,"$8,000,000 "
Jason Smith,32,"$5,225,000 "
Jodie Meeks,30,"$3,290,000 "
Tomas Satoransky,26,"$3,000,000 "
Kelly Oubre,22,"$2,093,040 "
Tim Frazier,27,"$2,000,000 "
Mike Scott,29,"$1,709,538 "
Chris McCullough,23,"$1,471,382 "
Martell Webster,31,"$830,000 "
