,,Salary,Salary,Salary,Salary,Salary,Salary,,
Kevin Durant,29,"$25,000,000 ","$26,250,000 ",,,,,Non-Bird Rights,"$25,000,000 "
Klay Thompson,28,"$17,826,150 ","$18,988,725 ",,,,,1st Round Pick,"$36,814,875 "
Draymond Green,28,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 "
Andre Iguodala,34,"$14,814,815 ","$16,000,000 ","$17,185,185 ",,,,Bird Rights,"$48,000,000 "
Shaun Livingston,32,"$7,692,308 ","$8,307,692 ","$7,692,308 ",,,,Bird Rights,"$18,000,000 "
Nick Young,32,"$5,192,000 ",,,,,,MLE,"$5,192,000 "
Zaza Pachulia,34,"$3,477,600 ",,,,,,,"$3,477,600 "
David West,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
JaVale McGee,30,"$2,116,955 ",,,,,,,"$2,116,955 "
Omri Casspi,29,"$2,106,470 ",,,,,,Minimum Salary,"$2,106,470 "
Kevon Looney,22,"$1,471,382 ",,,,,,1st Round pick,"$1,471,382 "
Patrick McCaw,22,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Damian Jones,22,"$1,312,611 ","$1,544,951 ","$2,305,057 ",,,,1st Round pick,"$2,857,562 "
Jordan Bell,23,"$815,615 ","$1,378,252 ",,,,,Minimum Salary,"$2,193,867 "
Quinn Cook,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Chris Boucher,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Jason Thompson,31,"$945,126 ","$945,126 ",,,,,,"$1,890,252 "
James Harden,28,"$28,299,399 ","$30,431,854 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",Bird Rights,"$181,203,253 "
Chris Paul,32,"$24,599,495 ",,,,,,Bird Rights,"$24,599,495 "
Ryan Anderson,29,"$19,578,455 ","$20,421,546 ","$21,264,635 ",,,,Cap Space,"$61,264,636 "
Eric Gordon,29,"$12,943,020 ","$13,500,375 ","$14,057,730 ",,,,Cap Space,"$40,501,125 "
P.J. Tucker,32,"$7,590,035 ","$7,969,537 ","$8,349,039 ","$7,969,537 ",,,MLE,"$26,477,799 "
Trevor Ariza,32,"$7,420,912 ",,,,,,Bird Rights,"$7,420,912 "
Nene Hilario,35,"$3,477,600 ","$3,651,480 ","$3,825,360 ",,,,Non-Bird Rights,"$10,954,440 "
Tarik Black,26,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Clint Capela,23,"$2,334,520 ",,,,,,1st Round Pick,"$2,334,520 "
Luc Mbah a Moute,31,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Chinanu Onuaku,21,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$2,857,562 "
Gerald Green,32,"$947,248 ",,,,,,Minimum Salary,"$947,248 "
Zhou Qi,22,"$815,615 ","$1,378,242 ","$1,618,520 ","$1,752,950 ",,,MLE,"$815,615 "
Joe Johnson,36,"$749,905 ",,,,,,Minimum Salary,
R.J. Hunter,24,TBD,,,,,,Two-Way Contract,TBD
Markel Brown,26,TBD,,,,,,Two-Way Contract,TBD
Bobby Brown,33,"$1,524,305 ",,,,,,,
Troy Williams,23,"$1,471,382 ","$1,544,951 ","$1,676,735 ",,,,,"$2,085,087 "
Cameron Oliver,21,"$300,000 ",,,,,,,"$300,000 "
Demetrius Jackson,23,"$74,159 ",,,,,,,"$74,159 "
Isaiah Canaan,26,"$53,465 ",,,,,,,"$53,465 "
Demetrius Jackson,23,"$50,000 ",,,,,,,"$50,000 "
Briante Weber,25,"$50,000 ",,,,,,,"$50,000 "
Chris Johnson,27,"$25,000 ",,,,,,,"$25,000 "
Bobby Brown,33,,,,,,,,
Brandan Wright,30,,,,,,,,
Victor Oladipo,25,"$21,000,000 ","$21,000,000 ","$21,000,000 ","$21,000,000 ",,,1st Round Pick,"$84,000,000 "
Thaddeus Young,29,"$14,796,348 ","$13,764,045 ",,,,,Bird Rights,"$14,796,348 "
