Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Cameron Oliver,21,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briante Weber,25,50000,231521,30888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Johnson,27,25000,0,981348,107674,916099,61290,762195,136509,0,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,25,21000000,6552960,5192520,4978200,4763760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thaddeus Young,29,14796348,14153652,11200000,9410870,8600000,8289130,7478261,2901241,2105400,1968120,0,0,0,0,0,0,0,0,0
Bojan Bogdanovic,28,10500000,3730653,3425510,3278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Collison,30,10000000,5229454,5013559,4797664,1900000,2319344,1455960,1361040,1266120,0,0,0,0,0,0,0,0,0,0
Al Jefferson,33,9769821,10230179,13833333,0,0,15000000,14000000,13000000,12000000,11000000,2480885,0,1512840,1407240,0,0,0,0,0
Cory Joseph,26,7630000,7330000,7000000,2023261,1120920,1105560,1028400,0,0,0,0,0,0,0,0,0,0,0,0
Lance Stephenson,27,4180000,4000000,9000000,0,1005000,870000,810000,750000,0,0,0,0,0,0,0,0,0,0,0
Myles Turner,22,2569920,2463840,2357760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domantas Sabonis,21,2550000,2440200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Leaf,20,2028360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Robinson,24,1524305,1050500,845000,507336,0,0,0,0,0,0,0,0,0,12071250,0,9860000,8990000,8120000,0
Joe Young,25,1471382,1052342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,19,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,32,2245400,10770000,10300000,8360000,8000000,11000000,11000000,11000000,11000000,0,770610,664209,448762,0,0,0,0,0,0
Damien Wilkins,38,2116955,0,0,0,0,1223166,1146337,748656,3300000,3100000,2900000,2700000,2500000,385277,0,0,0,0,0
Rakeem Christmas,26,172552,1052342,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Niang,24,100000,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Jordan,29,22642350,21165675,19500000,11440124,10986550,10532977,10079404,854389,736420,550000,0,0,0,0,0,0,0,0,0
Danilo Gallinari,29,20559599,15050000,14000000,10854850,10146925,9439000,4190182,3304560,3089040,2873520,0,0,0,0,0,0,0,0,0
Tobias Harris,25,16000000,17200000,16000000,2380594,1545840,1524480,1418160,0,0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,25,11825000,11000000,3100000,2439840,2339040,2238360,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Bradley,27,8808989,8269663,7730337,7191011,2511432,0,1524480,1418160,0,0,0,0,0,0,0,0,0,0,0
Boban Marjanovic,29,7000000,7000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Williams,31,7000000,7000000,7000000,5450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milos Teodosic,31,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Johnson,30,5881260,5628000,1100600,981084,916099,4285560,4006080,3726600,0,0,0,0,0,0,0,0,0,0,0
Patrick Beverley,29,5513514,6000000,6500000,915243,788872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Dekker,23,1794600,1720560,1646400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montrezl Harrell,24,1471382,1045000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawun Evans,21,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,23,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Pierce,40,1096080,3500000,3400000,5305000,15333334,0,15333334,13876321,19795712,18077903,0,0,13843156,12584688,11326219,10067750,2051271,1608840,0
Carlos Delfino,35,650000,650000,650000,650000,3250000,0,3500000,3500000,3500000,0,1868141,1037280,969696,901920,0,0,0,0,0
Jordan Farmar,31,510921,510921,191456,2077000,1106941,1500000,4000000,3750000,1947240,1080000,1009560,939120,0,0,0,0,0,0,0
Miroslav Raduljica,30,300000,300000,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook Lopez,29,22642350,21165675,20000000,15719063,14693906,13668750,3076983,2413320,2225880,2098560,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,25,17745894,3678319,2891760,2772480,2653080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luol Deng,32,17190000,18000000,10151612,9714461,14275000,13305000,12325000,11345000,10370425,9385000,3320339,2614440,2443920,0,0,0,0,0,0
Channing Frye,34,7420912,7806971,7807579,8175476,6400000,6000000,5600000,0,2000000,3163769,2487240,0,2162880,0,0,0,0,0,0
Lonzo Ball,20,6286560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Thomas,29,6261395,6587132,6912869,7238606,884293,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Ingram,20,5519400,5281680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
