ATLANTA HAWKS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Stephen Curry\curryst01,30,"$34,682,550 ","$37,457,154 ","$40,231,758 ","$43,006,362 ","$45,780,966 ",,Bird Rights,"$201,158,790 "
Kevin Durant\duranke01,29,"$25,000,000 ","$26,250,000 ",,,,,Non-Bird Rights,"$25,000,000 "
Klay Thompson\thompkl01,28,"$17,826,150 ","$18,988,725 ",,,,,1st Round Pick,"$36,814,875 "
Draymond Green\greendr01,28,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 "
Andre Iguodala\iguodan01,34,"$14,814,815 ","$16,000,000 ","$17,185,185 ",,,,Bird Rights,"$48,000,000 "
Shaun Livingston\livinsh01,32,"$7,692,308 ","$8,307,692 ","$7,692,308 ",,,,Bird Rights,"$18,000,000 "
Nick Young\youngni01,32,"$5,192,000 ",,,,,,MLE,"$5,192,000 "
Zaza Pachulia\pachuza01,34,"$3,477,600 ",,,,,,,"$3,477,600 "
David West\westda01,37,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
JaVale McGee\mcgeeja01,30,"$2,116,955 ",,,,,,,"$2,116,955 "
Omri Casspi\casspom01,29,"$2,106,470 ",,,,,,Minimum Salary,"$2,106,470 "
Kevon Looney\looneke01,22,"$1,471,382 ",,,,,,1st Round pick,"$1,471,382 "
Patrick McCaw\mccawpa01,22,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Damian Jones\jonesda03,22,"$1,312,611 ","$1,544,951 ","$2,305,057 ",,,,1st Round pick,"$2,857,562 "
Jordan Bell\belljo01,23,"$815,615 ","$1,378,252 ",,,,,Minimum Salary,"$2,193,867 "
Quinn Cook\cookqu01,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Chris Boucher\bouchch01,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Jason Thompson\thompja02,31,"$945,126 ","$945,126 ",,,,,,"$1,890,252 "
Team Totals,,"$137,494,845 ","$128,341,465 ","$85,953,438 ","$43,006,362 ","$45,780,966 ",,,"$406,429,711 "
HOUSTON ROCKETS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
James Harden\hardeja01,28,"$28,299,399 ","$30,431,854 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",Bird Rights,"$181,203,253 "
Chris Paul\paulch01,32,"$24,599,495 ",,,,,,Bird Rights,"$24,599,495 "
Ryan Anderson\anderry01,29,"$19,578,455 ","$20,421,546 ","$21,264,635 ",,,,Cap Space,"$61,264,636 "
Eric Gordon\gordoer01,29,"$12,943,020 ","$13,500,375 ","$14,057,730 ",,,,Cap Space,"$40,501,125 "
P.J. Tucker\tuckepj01,32,"$7,590,035 ","$7,969,537 ","$8,349,039 ","$7,969,537 ",,,MLE,"$26,477,799 "
Trevor Ariza\arizatr01,32,"$7,420,912 ",,,,,,Bird Rights,"$7,420,912 "
Nene Hilario\hilarne01,35,"$3,477,600 ","$3,651,480 ","$3,825,360 ",,,,Non-Bird Rights,"$10,954,440 "
Tarik Black\blackta01,26,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
Clint Capela\capelca01,23,"$2,334,520 ",,,,,,1st Round Pick,"$2,334,520 "
Luc Mbah a Moute\mbahalu01,31,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Chinanu Onuaku\onuakch01,21,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$2,857,562 "
Gerald Green\greenge01,32,"$947,248 ",,,,,,Minimum Salary,"$947,248 "
Zhou Qi\qizh01,22,"$815,615 ","$1,378,242 ","$1,618,520 ","$1,752,950 ",,,MLE,"$815,615 "
Joe Johnson\johnsjo02,36,"$749,905 ",,,,,,Minimum Salary,
R.J. Hunter\hunterj01,24,TBD,,,,,,Two-Way Contract,TBD
Markel Brown\brownma02,26,TBD,,,,,,Two-Way Contract,TBD
Bobby Brown\brownbo02,33,"$1,524,305 ",,,,,,,
